Period,Ngày nhập kho,Mã HS,Prod code,Sale code,ACTUAL QTY,Ghi chú
2026-04,2026-04-08 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1000,
2026-04,2026-04-08 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,480,
2026-04,2026-04-08 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-08 00:00:00,EAD65606208,EAD65606208-I,EAD65606208-I,1998,
2026-04,2026-04-08 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,3000,
2026-04,2026-04-08 00:00:00,EAD63911420,EAD63911420-I,EAD63911420-I,1498,
2026-04,2026-04-08 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,999,
2026-04,2026-04-08 00:00:00,EAD66091503V3,EAD66091503-I,EAD66091503-I,500,
2026-04,2026-04-08 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,20,
2026-04,2026-04-09 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1000,
2026-04,2026-04-09 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,3000,
2026-04,2026-04-09 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,800,
2026-04,2026-04-09 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-09 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,990,
2026-04,2026-04-09 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,1000,
2026-04,2026-04-09 00:00:00,EAD63954790,EAD63954790-I,EAD63954790-I,30,
2026-04,2026-04-09 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,499,
2026-04,2026-04-09 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,280,
2026-04,2026-04-09 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,2999,
2026-04,2026-04-10 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,500,
2026-04,2026-04-10 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,996,
2026-04,2026-04-10 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,3000,
2026-04,2026-04-10 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-10 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,3000,
2026-04,2026-04-10 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,400,
2026-04,2026-04-10 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,497,
2026-04,2026-04-10 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,996,
2026-04,2026-04-10 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,900,
2026-04,2026-04-11 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,500,
2026-04,2026-04-11 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,491,
2026-04,2026-04-11 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-11 00:00:00,EAD63911348,EAD63911348-I,EAD63911348-I,495,
2026-04,2026-04-11 00:00:00,EAD63707539,EAD63707539-T,EAD63707539-T,280,
2026-04,2026-04-11 00:00:00,EAD63707525,EAD63707525-I,EAD63707525-I,280,
2026-04,2026-04-11 00:00:00,EAD63707540,EAD63707540-T,EAD63707540-T,560,
2026-04,2026-04-11 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,1100,
2026-04,2026-04-11 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,598,
2026-04,2026-04-11 00:00:00,EAD65616820,EAD65616820-I,EAD65616820-I,44,
2026-04,2026-04-13 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1998,
2026-04,2026-04-13 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,2000,
2026-04,2026-04-13 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,4000,
2026-04,2026-04-13 00:00:00,EAD63911348,EAD63911348-I,EAD63911348-I,500,
2026-04,2026-04-13 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,490,
2026-04,2026-04-13 00:00:00,6850EC3006X,6850EC3006X-T,6850EC3006X-T,1000,
2026-04,2026-04-13 00:00:00,EAD64169023,EAD64169023-I,EAD64169023-I,490,
2026-04,2026-04-13 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,693,
2026-04,2026-04-13 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,4000,
2026-04,2026-04-13 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,1000,
2026-04,2026-04-13 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,490,
2026-04,2026-04-13 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,497,
2026-04,2026-04-13 00:00:00,EAD63845502,EAD63845502-T,EAD63845502-T,26,
2026-04,2026-04-14 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,1000,
2026-04,2026-04-14 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1032,
2026-04,2026-04-14 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,2000,
2026-04,2026-04-14 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,150,
2026-04,2026-04-14 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,997,
2026-04,2026-04-14 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,997,
2026-04,2026-04-14 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,998,
2026-04,2026-04-14 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,494,
2026-04,2026-04-14 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,529,
2026-04,2026-04-14 00:00:00,7200007689,7200007689-I,7200007689-I,3,
2026-04,2026-04-15 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,500,
2026-04,2026-04-15 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,500,
2026-04,2026-04-15 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1000,
2026-04,2026-04-15 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,4000,
2026-04,2026-04-15 00:00:00,EAD63911348,EAD63911348-I,EAD63911348-I,499,
2026-04,2026-04-15 00:00:00,7200007556V1,7200007556-I1,7200007556-I,289,
2026-04,2026-04-15 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,799,
2026-04,2026-04-15 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,1000,
2026-04,2026-04-15 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,500,
2026-04,2026-04-15 00:00:00,EAD63647078,EAD63647078-I,EAD63647078-I,30,
2026-04,2026-04-15 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,-1,
2026-04,2026-04-15 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,-10,
