Period,Ngày nhập kho,SUB code,Item code,Type,QTY ACTUAL,QTY RETURN,Ghi chú
2026-04,2026-04-01 00:00:00,,TPAX00200NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00202NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00206NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,TPAX00209NA,MAT,4000,,
2026-04,2026-04-01 00:00:00,,TPAX00214NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,TPAX00215NA,MAT,4000,,
2026-04,2026-04-01 00:00:00,,TPAX00216NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,TPAX00219NA,MAT,3000,,
2026-04,2026-04-01 00:00:00,,TPAX00229NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,TPAX00244NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00299NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,HOUX01440NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01238NA,MAT,4000,,
2026-04,2026-04-01 00:00:00,,BAGD00004NA,MAT,20,,
2026-04,2026-04-01 00:00:00,,TPAX00336NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00345NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,HOUX01969NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,BAGA00033NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX00202NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,CATX00072NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX00458NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01842NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,TPAX00111NA,MAT,1500,,
2026-04,2026-04-01 00:00:00,,TAPA00081NA,MAT,620,,
2026-04,2026-04-01 00:00:00,,HOUX00027NA,MAT,500,,
2026-04,2026-04-01 00:00:00,,HOUX00070NA,MAT,500,,
2026-04,2026-04-01 00:00:00,,TPAX00383NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX02060NA,MAT,3000,,
2026-04,2026-04-01 00:00:00,,HOUX01125NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01126NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,TPAX00381NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,HOUX00133NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01562NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01563NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX02758NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,HOUX02759NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00572NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00573NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00376NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX00890NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,TPAX00183NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,FOMA00360NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,EAD63913527-C,WIP,2000,,
2026-04,2026-04-01 00:00:00,,EAD66065901-C,WIP,500,,
2026-04,2026-04-01 00:00:00,,EAD63913527-C-TUBA-089,TUB,2000,,
2026-04,2026-04-01 00:00:00,,EAD63913527-C-TUBC-114,TUB,2000,,
2026-04,2026-04-02 00:00:00,,EAD66091501-C,WIP,1000,,
2026-04,2026-04-02 00:00:00,,EAD65606208-C,WIP,2000,,
2026-04,2026-04-02 00:00:00,,EAD65616818-C,WIP,1000,,
2026-04,2026-04-02 00:00:00,,EAD65616822-C,WIP,1000,,
2026-04,2026-04-02 00:00:00,,EAD64745815-C,WIP,1000,,
2026-04,2026-04-02 00:00:00,,EAD66010222-C,WIP,3000,,
2026-04,2026-04-02 00:00:00,,EAD62468244-C,WIP,4000,,
2026-04,2026-04-02 00:00:00,,EAD64109903-C,WIP,3000,,
2026-04,2026-04-02 00:00:00,,EAD64587804-C,WIP,3000,,
2026-04,2026-04-02 00:00:00,,EAD66091501-C-TUBA-089,TUB,1000,,
2026-04,2026-04-02 00:00:00,,EAD64745815-C-TUBC-212,TUB,1000,,
2026-04,2026-04-02 00:00:00,,EAD64745815-C-TUBC-214,TUB,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01156NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,TAPA00013NA,MAT,5220,,
2026-04,2026-04-02 00:00:00,,TPAX00201NA,MAT,4000,,
2026-04,2026-04-02 00:00:00,,BAGA00007NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX00627NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX00659NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01114NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01124NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01127NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01130NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01136NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01139NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01149NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01194NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01195NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01204NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01206NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01211NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01213NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01215NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01216NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX01217NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01251NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01364NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01566NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,SELA00032NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,SELA00035NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,SLVB00006NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,TAPB00003NA,MAT,2700,,
2026-04,2026-04-02 00:00:00,,TPAX00107NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TPAX00117NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TPAX00197NA,MAT,4000,,
2026-04,2026-04-02 00:00:00,,TPAX00198NA,MAT,5000,,
2026-04,2026-04-02 00:00:00,,TPAX00202NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TPAX00205NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TPAX00206NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TPAX00209NA,MAT,4000,,
2026-04,2026-04-02 00:00:00,,TPAX00219NA,MAT,4000,,
2026-04,2026-04-02 00:00:00,,TPAX00244NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,TPAX00299NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX01548NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,TPAX00288NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX00202NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,CATX00072NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TAPA00081NA,MAT,320,,
2026-04,2026-04-02 00:00:00,,HOUX02060NA,MAT,3000,,
2026-04,2026-04-02 00:00:00,,HOUX00444NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX02121NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX00445NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX00443NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX00666NA,MAT,4000,,
2026-04,2026-04-02 00:00:00,,HOUX00665NA,MAT,8000,,
2026-04,2026-04-02 00:00:00,,HOUX00667NA,MAT,8000,,
2026-04,2026-04-02 00:00:00,,HOUX00082NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX00133NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX00978NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX01538NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX01553NA,MAT,2000,,
