Period,Ngày,Ngày tháng,Prod code,Sale code,Item code,TYPE,STOCK IN,Level subcon,Transaction type,QTY,Remark
2026-04,30,2026-04-30 00:00:00,,0,HOUX00445NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00665NA,MAT,CKVB,2,SUB OUT,4000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00666NA,MAT,CKVB,2,SUB OUT,2000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00667NA,MAT,CKVB,2,SUB OUT,4000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00978NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01538NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01548NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01553NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01562NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01563NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX02121NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00047NA,MAT,CKVB,2,SUB OUT,3000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00284NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00288NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00291NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,EAD62090005-C,WIP,CKAL,2,SUB OUT,2000,EAD62090005-T
2026-04,30,2026-04-30 00:00:00,,0,EAD64765409-C,WIP,CKAL,2,SUB OUT,1000,EAD64765409-T
2026-04,30,2026-04-30 00:00:00,,0,EAD61212398-C,WIP,CKAL,2,SUB OUT,1000,EAD61212398-T
2026-04,30,2026-04-30 00:00:00,,0,EAD63911352-C,WIP,CKAL,2,SUB OUT,500,EAD63911352-I
