No.,Type code,Item code,Spec,Unit,Đơn giá TK
66,NVL,EAD64545392-C-TUBA-075,"WM F/L 27,,Harness Multi,FX Best US in VH",EA,389
67,NVL,EAD64545399-C,"WM F/L 27,,Harness Multi,FX Better US",EA,99404
68,NVL,EAD64545802-C,"WM F/L27,,Harness Single,Victor2",EA,2562
69,NVL,EAD64545802-C-TUBA-075,"WM F/L27,,Harness Single,Victor2",EA,522
70,NVL,EAD64587804-C,"WM F/L27,,Harness Single,Victor2(W)",EA,4356
71,NVL,EAD64587813-C,"WM FX Best US,,Harness Single,Rotary",EA,5206
72,NVL,EAD64587836-C,"WM F/L27,Harness Single,FX (D) new LCD Molding wire",EA,11202
73,NVL,EAD64745627-C,"Ref,,Harness Assembly,Ref Majesty 3D (Case)",EA,57877
74,NVL,EAD64745815-C,"Ref,,Harness Assembly,Ref Majesty (Door)",EA,97948
75,NVL,EAD64745815-C-TUBC-212,"Ref,Harness Assembly,WIP-Tube Ref Majesty (Door)",EA,213
76,NVL,EAD64745815-C-TUBC-214,"Ref,Harness Assembly,WIP-Tube Ref Majesty (Door)",EA,261
77,NVL,EAD64765409-C,"WM F/L 24,Harness Single,VX PCB Molding wire",EA,5141
78,NVL,EAD65606208-C,"Ref,Harness Assembly,Raptor2 (B) US (Cabinet)",EA,42655
79,NVL,EAD65606209-C,"Ref,Harness Assembly,Ref Raptor (Pillar joint)",EA,27471
80,NVL,EAD65606211-C,"Ref,Harness Assembly,Raptor2 Q US (Cabinet)",EA,65898
81,NVL,EAD65616818-C,"Oven,Harness Multi,Oven Nova F/S Electric Basic Main",EA,147151
82,NVL,EAD65616820-C,"Oven,Harness Multi,Oven Nova F/S Main",EA,160305
83,NVL,EAD65616822-C,"Oven,Harness Multi,Oven Nova F/S Better Main",EA,160621
84,NVL,EAD65895024-C,"Ref,,Harness Assembly,VS4CK SxS (Case dispenser)",EA,33909
85,NVL,EAD65895024-C-TUBC-101,"Ref,,Harness Assembly,VS4CK SxS (Case dispenser)",EA,523
86,NVL,EAD65896555-C,"VCC Single,,Harness Single,VCC A9S Single",EA,1035
87,NVL,EAD66006017-C,"WM F/L 27,Harness Multi,Victor2 Military Korea",EA,95067
88,NVL,EAD66006018-C,"WM F/L 27,Harness Multi,FX Best US in VH",EA,117882
89,NVL,EAD66006018-C-TUBA-075,"WM F/L 27,Harness Multi,FX Best US in VH",EA,389
90,NVL,EAD66010222-C,"WM F/L 27,Harness Multi,Victor2 CK Main",EA,64103
91,NVL,EAD66065901-C,"Ref,,Harness Assembly,VS4CK SxS (FM-H)",EA,103418
92,NVL,EAD66091501-C,"Ref,,Harness Assembly,Ref Majesty 3D (CF Main)",EA,105637
93,NVL,EAD66091501-C-TUBA-089,"Ref,,Harness Assembly,Ref Majesty 3D (CF Main)",EA,249
94,NVL,EAD66091503-C,"Ref,,Harness Assembly,Ref Majesty 4D (CF Main)",EA,129369
95,NVL,EAD66091503-C-TUBA-089,"Ref,,Harness Assembly,Ref Majesty 4D (CF Main)",EA,249
96,NVL,EAD66091505-C,"Ref,Harness Multi,Ref Majesty 3D Basic (CF Main)",EA,75229
97,NVL,EAD66091505-C-TUBA-089,"Ref,Harness Multi,Ref Majesty 3D (CF Main)",EA,249
98,NVL,FOMA00360NA,",,FOAM PU,5T*80*80(3940EN4006E)",EA,1215
99,NVL,FOMA00392NA,",,FOAM PU,8T*25*100 WH (Non flame retardant)",EA,137
100,NVL,FOMA00399NA,",,FOAM PU,8T*25*80 GY",EA,137
101,NVL,FOMA00597NA,",,FOAM PU,8T*50*80",EA,459
102,NVL,FOME00008NA,",,FOAM EPDM,MDS62150631 (3T*35*35 EPDM)",EA,550
103,NVL,GC-BAGA00006NA,",,PE BAG,100*200",EA,609
104,NVL,GC-CORX00038NA,",,CORE ,OP 18A",EA,1614
105,NVL,GC-HOUX00015NA,",,HOUSING ,611933",EA,451
106,NVL,GC-HOUX00102NA,",,HOUSING ,635571",EA,2588
107,NVL,GC-HOUX00130NA,",,HOUSING ,1-1743165-2",EA,954
108,NVL,GC-HOUX00131NA,",,HOUSING ,1-1743165-5",EA,954
109,NVL,GC-HOUX00205NA,",,HOUSING ,172075-1",EA,329
110,NVL,GC-HOUX00211NA,",,HOUSING ,1743165-1",EA,933
111,NVL,GC-HOUX00212NA,",,HOUSING ,1743165-2",EA,933
112,NVL,GC-HOUX00214NA,",,HOUSING ,1743165-8",EA,933
113,NVL,GC-HOUX00641NA,",,HOUSING ,611163T",EA,431
114,NVL,GC-HOUX00659NA,",,HOUSING ,615042-2",EA,750
115,NVL,GC-HOUX00718NA,",,HOUSING ,621164T",EA,497
116,NVL,GC-HOUX00730NA,",,HOUSING ,621934-5",EA,502
117,NVL,GC-HOUX00804NA,",,HOUSING ,635148T",EA,571
118,NVL,GC-HOUX00806NA,",,HOUSING ,635148T-2",EA,571
119,NVL,GC-HOUX00829NA,",,HOUSING ,70001HS-04A",EA,510
120,NVL,GC-HOUX01108NA,",,HOUSING ,PWAP-07V-WGL1",EA,477
121,NVL,GC-HOUX01114NA,",,HOUSING ,PWAP-11V-WGL1",EA,688
122,NVL,GC-HOUX01124NA,",,HOUSING ,PWBP-04V-WGL1",EA,370
123,NVL,GC-HOUX01127NA,",,HOUSING ,PWBP-06V-3WGL1-H",EA,439
124,NVL,GC-HOUX01128NA,",,HOUSING ,PWBP-06V-WGL1",EA,421
125,NVL,GC-HOUX01130NA,",,HOUSING ,PWBP-06V-WGL1-R",EA,421
126,NVL,GC-HOUX01138NA,",,HOUSING ,PWBR-03VF-WGL1-R",EA,627
127,NVL,GC-HOUX01139NA,",,HOUSING ,PWBR-04VF-WGL1",EA,775
128,NVL,GC-HOUX01149NA,",,HOUSING ,PWCP-03V-3WGL1-H",EA,459
129,NVL,GC-HOUX01195NA,",,HOUSING ,SL-15TF RD",EA,1109
130,NVL,GC-HOUX01204NA,",,HOUSING ,SL-20T",EA,1448
131,NVL,GC-HOUX01206NA,",,HOUSING ,SL-33",EA,768
132,NVL,GC-HOUX01208NA,",,HOUSING ,SL-44",EA,966
133,NVL,GC-HOUX01209NA,",,HOUSING,SL-46",EA,890
134,NVL,GC-HOUX01211NA,",,HOUSING ,SL-48M",EA,553
135,NVL,GC-HOUX01213NA,",,HOUSING ,SL-49P",EA,556
136,NVL,GC-HOUX01215NA,",,HOUSING ,SL-58T",EA,650
137,NVL,GC-HOUX01216NA,",,HOUSING ,SL-58T BL",EA,686
138,NVL,GC-HOUX01217NA,",,HOUSING ,SL-58T RD",EA,650
139,NVL,GC-HOUX01251NA,",,HOUSING ,SMH200-10H",EA,286
140,NVL,GC-HOUX01362NA,",,HOUSING ,SMH600-03D(YE)",EA,375
141,NVL,GC-HOUX01364NA,",,HOUSING ,SMH600-04D",EA,543
142,NVL,GC-HOUX01566NA,",,HOUSING ,YH500-06C(BL)",EA,421
143,NVL,GC-HOUX01687NA,",,HOUSING,SL-12T GY",EA,219
144,NVL,GC-HOUX01923NA,",,HOUSING,625306",EA,303
