No.,Type code,Item code,Spec,Unit,Đơn giá TK
336,NVL,HOUX02468NA,"HOUSING,SMH200-H05H3",EA,297
337,NVL,HOUX02491NA,",,HOUSING,PNDP-26V-R",EA,1576
338,NVL,HOUX02529NA,",,HOUSING,XMR-18VF-WGL1",EA,4504
339,NVL,HOUX02573NA,",,HOUSING ,SMH200-H13H3",EA,509
340,NVL,HOUX02625NA,",,HOUSING,625488-024",EA,4846
341,NVL,HOUX02724NA,",,HOUSING,85002HP-06",EA,2158
342,NVL,HOUX02742NA,",,HOUSING,XMR-16V-1WGL1",EA,4603
343,NVL,HOUX02758NA,",,HOUSING,85002HS-04",EA,1487
344,NVL,HOUX02759NA,",,HOUSING,85002HS-02",EA,1168
345,NVL,MLDA00207NA,",,MOLD SUPPORTER HOUSING,MEG66727703",EA,2672
346,NVL,SELA00029NA,",,SEAL WIRE,PWEG-03",EA,533
347,NVL,SELA00032NA,",,SEAL WIRE,SL-15S2(GY)",EA,1313
348,NVL,SELA00035NA,",,SEAL WIRE,SL-15S3(GY)",EA,603
349,NVL,SELA00036NA,",,SEAL WIRE,SL-47S1",EA,1005
350,NVL,SELA00037NA,",,SEAL WIRE,SL-47S2",EA,1005
351,NVL,SELA00066NA,",,SEAL WIRE,2404009-1",EA,697
352,NVL,SLVA00014NA,",,SLEEVE,DFA18-2.8(UL)",EA,91
353,NVL,SLVB00006NA,",,SLEEVE SILICONE,SDFFN(신)25-4.0",EA,699
354,NVL,TAPA00013NA,",,TAPE PVC,PVC W19*20 BK",M,269
355,NVL,TAPA00081NA,",,TAPE PVC,PVC W19*20 RD",M,267
356,NVL,TAPB00003NA,",,TAPE ACETATE,ACETATE W19",M,1569
357,NVL,TAPB00010NA,",,ACETATE W50*30,TAPE ACETATE",M,4802
358,NVL,TAPB00012NA,",,TAPE ACETATE,ACETATE W60*30",M,4493
359,NVL,TAPC00001NA,",,TAPE ALUMINIUM,ALUMINIUM W10*50",M,694
360,NVL,TAPD00013NA,",,TAPE COTTON,COTTON W40",M,1072
361,NVL,TAPD00021NA,",,TAPE COTTON,COTTON W75*20 WH",M,0
362,NVL,TPAX00001NA,",,TPA,35129-0200",EA,3170
363,NVL,TPAX00004NA,",,TPA ,635317",EA,87
364,NVL,TPAX00005NA,",,TPA ,P635318",EA,100
365,NVL,TPAX00009NA,",,TPA,1201-18224",EA,285
366,NVL,TPAX00010NA,",,TPA ,1201-18226",EA,285
367,NVL,TPAX00015NA,",,TPA,1301-18205",EA,314
368,NVL,TPAX00026NA,",,TPA ,1746076-1",EA,791
369,NVL,TPAX00027NA,",,TPA,177918-1",EA,238
370,NVL,TPAX00028NA,",,TPA ,177919-1",EA,251
371,NVL,TPAX00035NA,",,TPA,2005543-5",EA,845
372,NVL,TPAX00047NA,",,TPA,35129-0500",EA,1710
373,NVL,TPAX00048NA,",,TPA ,35150-0290",EA,116
374,NVL,TPAX00051NA,",,TPA ,35150-0390",EA,147
375,NVL,TPAX00053NA,",,TPA,35182-0190",EA,161
376,NVL,TPAX00055NA,",,TPA,35182-0290",EA,268
377,NVL,TPAX00080NA,",,TPA ,631168-2",EA,187
378,NVL,TPAX00084NA,",,TPA,631228-5",EA,84
379,NVL,TPAX00086NA,",,TPA ,631230-5",EA,206
380,NVL,TPAX00097NA,",,TPA ,634164-2",EA,269
381,NVL,TPAX00101NA,",,TPA ,634487-2",EA,218
382,NVL,TPAX00107NA,",,TPA ,635043-1",EA,264
383,NVL,TPAX00111NA,",,TPA ,635252-2",EA,394
384,NVL,TPAX00116NA,",,TPA,635620-2",EA,1119
385,NVL,TPAX00117NA,",,TPA ,635636-3",EA,293
386,NVL,TPAX00132NA,",,TPA,65001HS-06RT",EA,221
387,NVL,TPAX00139NA,",,TPA,917698-1",EA,345
388,NVL,TPAX00140NA,",,TPA,917699-1",EA,348
389,NVL,TPAX00141NA,",,TPA ,917700-1",EA,322
390,NVL,TPAX00142NA,",,TPA ,917701-1",EA,281
391,NVL,TPAX00143NA,",,TPA ,917702-1",EA,405
392,NVL,TPAX00144NA,",,TPA,917703-1",EA,491
393,NVL,TPAX00145NA,",,TPA ,917704-1",EA,554
394,NVL,TPAX00146NA,",,TPA ,917705-1",EA,516
395,NVL,TPAX00147NA,",,TPA ,917706-1",EA,500
396,NVL,TPAX00149NA,",,TPA ,917708-1",EA,494
397,NVL,TPAX00183NA,",,TPA ,HL-N1140-06",EA,199
398,NVL,TPAX00197NA,",,TPA ,PWBS-02V",EA,162
399,NVL,TPAX00198NA,",,TPA ,PWBS-03V",EA,156
400,NVL,TPAX00199NA,",,TPA ,PWBS-04V",EA,226
401,NVL,TPAX00200NA,",,TPA ,PWBS-05V",EA,354
402,NVL,TPAX00201NA,",,TPA ,PWCS-02V",EA,226
403,NVL,TPAX00202NA,",,TPA ,PWCS-03V",EA,218
404,NVL,TPAX00203NA,",,TPA ,PWES-03V-R",EA,712
405,NVL,TPAX00205NA,",,TPA ,SL-15TPA",EA,309
406,NVL,TPAX00206NA,",,TPA ,SL-15TPA RD",EA,280
407,NVL,TPAX00209NA,",,TPA ,SL-58TPA",EA,357
408,NVL,TPAX00211NA,",,TPA ,SMH200-02HRT(RE)",EA,143
409,NVL,TPAX00212NA,",,TPA ,SMH200-03HRT(RE)",EA,170
410,NVL,TPAX00214NA,",,TPA ,SMH200-05HRT(RE)",EA,212
411,NVL,TPAX00215NA,",,TPA ,SMH200-06HRT(RE)",EA,224
412,NVL,TPAX00216NA,",,TPA ,SMH200-07HRT(RE)",EA,267
413,NVL,TPAX00217NA,",,TPA,SMH200-08HRT",EA,291
414,NVL,TPAX00219NA,",,TPA ,SMH200-10HRT(RE)",EA,305
415,NVL,TPAX00222NA,",,TPA,SMH200-13HRT(RE)",EA,374
416,NVL,TPAX00229NA,",,TPA ,SMH250J-03RT(RE)",EA,193
417,NVL,TPAX00231NA,",,TPA ,SMH250J-04RT(RE)",EA,181
418,NVL,TPAX00234NA,",,TPA,SMH250J-07RT(RE)",EA,287
419,NVL,TPAX00235NA,",,TPA,SMH250J-08RT(RE)",EA,294
420,NVL,TPAX00244NA,",,TPA ,SMH600-02DRT(RE)",EA,142
421,NVL,TPAX00246NA,",,TPA ,SMH600-03DRT(RE)",EA,227
422,NVL,TPAX00272NA,",,TPA ,XMS-11V(PWASX-11V)",EA,270
423,NVL,TPAX00279NA,",,TPA,YH396-03JRT(RE)",EA,219
424,NVL,TPAX00282NA,",,TPA ,YH396-05JRT(RE)",EA,256
425,NVL,TPAX00284NA,",,TPA,YH396-06JRT(RE)",EA,273
426,NVL,TPAX00285NA,",,TPA ,YH396-07JRT(RE)",EA,299
427,NVL,TPAX00288NA,",,TPA ,YH396-09JRT(RE)",EA,364
428,NVL,TPAX00291NA,",,TPA,YH396-11JRT(RE)",EA,375
429,NVL,TPAX00299NA,",,TPA ,YH500-03CRT(RE)",EA,109
430,NVL,TPAX00303NA,",,TPA ,YLS-03V",EA,377
431,NVL,TPAX00307NA,",,TPA,YLS-16V",EA,779
432,NVL,TPAX00336NA,",,TPA ,2369510-1",EA,132
433,NVL,TPAX00345NA,",,TPA ,2369511-1",EA,123
434,NVL,TPAX00371NA,",,TPA,XMS-09V-K",EA,0
435,NVL,TPAX00373NA,",,TPA,XMS-08V / PWASX-08V-K",EA,315
436,NVL,TPAX00376NA,",,TPA,XMS-11V / PWASX-11V-K",EA,411
437,NVL,TPAX00381NA,",,TPA,XMS-05V / PWASX-05V-K",EA,199
438,NVL,TPAX00383NA,",,TPA,PNDS-34V-K",EA,1210
439,NVL,TPAX00385NA,",,TPA,PNDS-22V-K",EA,834
440,NVL,TPAX00386NA,",,TPA,PNDS-24V-K",EA,834
441,NVL,TPAX00388NA,",,TPA,PNDS-26V-K",EA,907
442,NVL,TPAX00389NA,",,TPA,ZNDS-22V-K",EA,968
443,NVL,TPAX00495NA,",,TPA,PNDS-28V-K",EA,1025
444,NVL,TPAX00563NA,",,TPA,85002RT-H03",EA,192
445,NVL,TPAX00567NA,",,TPA,635955-210",EA,929
446,NVL,TPAX00568NA,",,TPA,635956-214",EA,865
447,NVL,TPAX00572NA,",,TPA,85002RT-H03B(RE)",EA,350
448,NVL,TPAX00573NA,",,TPA,85002RT-H03A",EA,350
449,NVL,TUBA00116NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (CN19/12MM)",EA,88
450,NVL,TUBA00117NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (MBP/10MM)",EA,74
451,NVL,TUBA00118NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (CDUP/12MM)",EA,88
452,NVL,TUBA00119NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (CDU/10MM)",EA,74
453,NVL,TUBA00120NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (CN16/12MM)",EA,88
454,NVL,TUBA00125NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (SPRP/12MM)",EA,88
455,NVL,TUBA00126NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (SPR/10MM)",EA,74
456,NVL,TUBA00136NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (SPR2/12MM)",EA,88
457,NVL,TUBA00232NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (P/S(MBP)/12MM)",EA,88
458,NVL,TUBA00235NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (SENS/12MM)",EA,88
459,NVL,TUBA00240NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (CDUF IF/12MM)",EA,88
460,NVL,TUBA00241NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (CDUF/12MM)",EA,88
461,NVL,TUBA00249NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (LED-D/12MM)",EA,88
462,NVL,TUBA00251NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (HUB PWR/12MM)",EA,110
463,NVL,TUBA00255NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (LED/12MM)",EA,88
464,NVL,TUBA00256NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (LED-C/12MM)",EA,88
465,NVL,TUBA00261NA,",,TUBE PVC,PVC NUMBERING WH 3.2PHI (PS-CDU/12MM)",EA,88
466,NVL,EAD61212389-C,"WM F/L24,Harness Single,FL24 VX 550 WD",EA,3503
467,NVL,EAD63647078-C,"Dish Washer XF5,6 Dry Module,Harness Multi,Harness Main",EA,107513
468,NVL,EAD63647078-C-TUBA-083,"Dish Washer XF5,6 Dry Module,Harness Multi,Harness Main",EA,1917
469,NVL,EAD63707525-C,"Dish Washer XF5,6 Dry Module,Harness Single,Harness PCB Joint",EA,3043
470,NVL,EAD63707539-C,"Dish Washer XF5,6 Dry Module,Harness Single,Harness Display",EA,2151
471,NVL,EAD63707540-C,"Dish Washer XF5,6 Dry Module,Harness Single,Harness Mood Light",EA,1220
472,NVL,EAD64169023-C,"WM F/L24,,Harness Multi,FL24 Vivace V500 WD Chile",EA,140922
473,NVL,EAD64169033-C,"WM F/L24,Harness Multi,FL24 VX 550 WD",EA,163959
474,NVL,EAD64545339-A-C,"WM F/L 27 CKD,,Harness Multi,Victor 2 Refresh better TN",EA,76559
475,NVL,EAD66006019-C,"WM F/L 27,Harness Multi,Victor2 Win Indonesia",EA,90644
476,NVL,HOUX00161NA,",,HOUSING,12507HS-04L",EA,270
477,NVL,HOUX00378NA,",,HOUSING ,25048HS-05",EA,295
478,NVL,HOUX00539NA,",,HOUSING ,35189-0390",EA,1499
479,NVL,HOUX00589NA,",,HOUSING ,49506-0700",EA,2388
480,NVL,HOUX00789NA,",,HOUSING ,634528T",EA,646
481,NVL,HOUX01095NA,",,HOUSING ,PS-250-2B-11-WGL1-KBR",EA,1338
482,NVL,HOUX01107NA,",,HOUSING ,PWAP-06V-WGL1",EA,606
483,NVL,HOUX01113NA,",,HOUSING ,PWAP-10V-WGL1",EA,722
484,NVL,HOUX01121NA,",,HOUSING ,PWBP-03V-WGL1-E",EA,520
485,NVL,HOUX01190NA,",,HOUSING ,SL-11T",EA,1204
486,NVL,HOUX01200NA,",,HOUSING ,SL-19T",EA,1135
487,NVL,HOUX01273NA,",,HOUSING ,SMH200-H04PR",EA,762
488,NVL,HOUX01320NA,",,HOUSING ,SMH250-06",EA,253
489,NVL,HOUX01958NA,",,HOUSING ,SL-46T (CY404)",EA,1090
490,NVL,HOUX01959NA,",,HOUSING ,610876P-2 (TJC6201-3Y BL)",EA,908
491,NVL,HOUX01960NA,",,HOUSING ,SL-33 (CY364)",EA,797
492,NVL,HOUX01961NA,",,HOUSING ,1743492-1 WH (CY375 WH)",EA,663
493,NVL,HOUX01962NA,",,HOUSING ,1743492-1 GY (CY375 GY)",EA,763
494,NVL,HOUX01995NA,",,HOUSING,25045HP-06B",EA,820
495,NVL,HOUX02048NA,",,HOUSING ,2369508-1",EA,533
496,NVL,HOUX02061NA,",,HOUSING,SMH200-H12H3",EA,489
497,NVL,HOUX02064NA,",,HOUSING,2369504-1",EA,473
498,NVL,HOUX02103NA,",,HOUSING,YH500-H02F",EA,1495
499,NVL,HOUX02142NA,",,HOUSING,SL-59T",EA,821
500,NVL,HOUX02305NA,",,HOUSING,PNDP-34V-E",EA,1063
501,NVL,HOUX02544NA,",,HOUSING,SMH200-H04H3",EA,254
502,NVL,HOUX02555NA,",,HOUSING,SMH200-H06H3",EA,318
503,NVL,HOUX02605NA,",,HOUSING,SMH200-H11H3",EA,445
504,NVL,SELA00031NA,",,SEAL WIRE,SL-15S2 WH",EA,684
505,NVL,SLVB00001NA,",,SLEEVE SILICONE,SDFAN187NR",EA,913
506,NVL,SLVB00002NA,",,SLEEVE SILICONE,SDFAN 250NR (FLAME RETARDANT)",EA,882
507,NVL,TPAX00065NA,",,TPA ,49507-0790",EA,1642
508,NVL,TPAX00153NA,",,TPA ,CYS375-YL",EA,354
509,NVL,TPAX00213NA,",,TPA ,SMH200-04HRT(RE)",EA,229
510,NVL,TPAX00220NA,",,TPA ,SMH200-11HRT(RE)",EA,400
511,NVL,TPAX00221NA,",,TPA,SMH200-12HRT(RE)",EA,338
512,NVL,TPAX00232NA,",,TPA ,SMH250J-05RT(RE)",EA,176
513,NVL,TPAX00233NA,",,TPA ,SMH250J-06RT(RE)",EA,185
514,NVL,TPAX00251NA,",,TPA ,TJC6201-3AYS RD",EA,359
515,NVL,TPAX00377NA,",,TPA,XMS-10V / PWASX-10V-K",EA,297
516,NVL,TPAX00384NA,",,TPA,XMS-06V / PWASX-06V-K",EA,232
517,NVL,TPAX00391NA,",,TPA,YH500-02FRT(RE)",EA,380
518,NVL,TPAX00402NA,",,TPA,SL-59TPA",EA,512
